Num_Ord;Type_Contrat;Type_Filiere;Type_Secteur;Type_Personnel;Corps_Filiere;Grades;Categorie;"Indice Minimum avant
01/03/2022";"Indice Minimum
A partir du 01/03/2022";"Indice Minimum
A partir du 01/01/2023";"Indice Minimum
A partir du 01/01/2024"
133;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement primaire;Inspecteur de l’enseignement primaire;15;666;716;791;866
134;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’orientation et de la guidance scolaire et professionnelle;"Inspecteur de l’orientation et de la
guidance scolaire et professionnelle";15;666;716;791;866
135;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement moyen;Inspecteur de l’enseignement moyen;16;713;763;838;913
136;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’Education nationale;Inspecteur de l’éducation nationale (Cat 17);17;762;812;887;962
137;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement primaire;Inspecteurs de l’enseignement primaire spécialité disciplines;17;762;812;887;962
138;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement primaire;Inspecteur de l’enseignement primaire spécialité administration des écoles primaires;17;762;812;887;962
139;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement primaire;Inspecteur de l’enseignement primaire spécialite alimentation scolaire;17;762;812;887;962
140;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement moyen;Inspecteur de l’enseignement moyen specialite disciplines;17;762;812;887;962
141;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement moyen;Inspecteur de l’enseignement moyen specialite administration des collèges;17;762;812;887;962
142;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement moyen;Inspecteur de l’orientation et de la guidance scolaire et professionnelle aux collèges;17;762;812;887;962
143;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement moyen;Inspecteur de la gestion financiere et materielle des colleges;16;713;763;838;913
144;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement secondaire;Inspecteur de l’enseignement secondaire specialite disciplines;HC-S1;930;980;1055;1130
145;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement secondaire;Inspecteur de l’enseignement secondaire specialite administration des lycees;HC-S1;930;980;1055;1130
146;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement secondaire;Inspecteur de l’orientation et de la guidance scolaire et professionnelle aux lycées;HC-S1;930;980;1055;1130
147;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement secondaire;Inspecteur de la gestion financiere et materielle des lycees;17;762;812;887;962
148;Statut_Fonctionnaire;INSPECTION;Education Nationale;Personnels d'Inspection;Corps des Inspecteurs de l’enseignement secondaire;Inspecteur de l’Education nationale;HC-S2;990;1040;1115;1190
149;Statut_Fonctionnaire;SANTE_PUBLIQUE;Sante publique;Personnels des Infirmiers-Soignants;Corps des Aides-soignants de santé publique;Aide-soignants de sante publique;8;379;429;504;579
150;Statut_Fonctionnaire;SANTE_PUBLIQUE;Sante publique;Personnels des Infirmiers-Soignants;Corps des Aides-soignants de santé publique;Aide-soignant principal de sante publique;9;418;468;543;618
151;Statut_Fonctionnaire;SANTE_PUBLIQUE;Sante publique;Personnels des Infirmiers-Soignants;Corps des Infirmiers de santé publique;Infirmier brevete;9;418;468;543;618
152;Statut_Fonctionnaire;SANTE_PUBLIQUE;Sante publique;Personnels des Infirmiers-Soignants;Corps des Infirmiers de santé publique;Infirmier de sante publique;11;498;548;623;698
153;Statut_Fonctionnaire;OUVRIERS_AGENTS;Ouvriers Conducteur Appariteur;Ouvriers Professionnels;Corps des Ouvriers professionnels;Ouvrier Professionnel Cat 3;1;200;250;325;400
